ID	ST	Serovar	GC (%)	Total reads	Passed reads (%)	Low quality reads (%)	too many Ns reads (%)	Too short reads (%)	No. of contigs	Placeholders (N) per 100kbp	N50	Total assembled bases	Point Mutations StarAMR	All AMR ARIBA-NCBI	Sample Accession	Run Accession	Collection Year	Source Niche	Source Type	Source Details	Country	Region	Source Lab
BRCH23-C1E03	Unknown	Heidelberg	52.02	1914748	97.16	2.54	0.18	0.12	90	0	276202	5062166	gyrA (S83F)	"blaCMY_2.NG_048814.1, fosA7.NG_054942.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927331	ERR8025319	2012	Poultry	Avian	Broiler chicken faeces	Brazil	Parana	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1E04	Unknown	Ohio	52.17	2275928	96.97	2.64	0.19	0.2	74	0	527516	4735078	No result	qnrB19.NG_050479.1	ERS9927316	ERR8025304	2012	Poultry	Avian	Broiler chicken faeces	Brazil	Santa Catarina	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1E05	15	Heidelberg	52.04	3834014	97.03	2.62	0.18	0.16	83	0	291469	4996782	gyrA (S83F)	"blaCMY_2.NG_048814.1, fosA7.NG_054942.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927278	ERR8025263	2013	Poultry	Avian	Broiler chicken faeces	Brazil	Santa Catarina	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1E06	Unknown	Albany	52.03	3371006	97.18	2.53	0.18	0.11	57	2.09	730457	4787426	No result	No result	ERS9927336	ERR8025324	2013	Poultry	Avian	Broiler chicken faeces	Brazil	Parana	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1E07	50	Saintpaul	52.22	1779924	97.01	2.63	0.19	0.17	77	0	387365	4746159	No result	No result	ERS9927255	ERR8025240	2014	Poultry	Avian	Broiler chicken faeces	Brazil	Mato Grosso do Sul	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1E08	64	Anatum	51.74	2832016	97.32	2.39	0.19	0.1	98	0	497857	5126831	No result	"aadA2.NG_051846.1, qnrS1.NG_050543.1"	ERS9927277	ERR8025262	2014	Poultry	Avian	Broiler chicken faeces	Brazil	Mato Grosso do Sul	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1E09	112	Muenchen	51.94	2612500	97.18	2.52	0.19	0.11	83	0	395875	4896975	No result	"aac_3__VIa.NG_052583.3, aadA1.NG_052477.1, aph_3___Ia.NG_047430.1, blaCTX_M_2.NG_048968.1, qacEdelta1.NG_048042.1, qnrB19.NG_050479.1, sul1.NG_048082.1, tet_A_.NG_048154.1"	ERS9927276	ERR8025261	2015	Poultry	Avian	Broiler chicken faeces	Brazil	Santa Catarina	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1E10	15	Heidelberg	52.04	2906628	96.95	2.68	0.18	0.19	81	0	411811	4997221	gyrA (S83F)	"blaCMY_2.NG_048814.1, fosA7.NG_054942.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927201	ERR8025185	2015	Poultry	Avian	Broiler chicken faeces	Brazil	Santa Catarina	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1E11	897	Bredeney	52.11	1998478	97.1	2.57	0.18	0.14	57	0	396934	4703428	No result	tet_A_.NG_048154.1	ERS9927195	ERR8025179	2016	Poultry	Avian	Broiler chicken faeces	Brazil	Santa Catarina	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1E12	Unknown	Typhimurium	52.18	2116474	97.15	2.51	0.19	0.15	99	0	377279	4894522	No result	No result	ERS9927306	ERR8025294	2016	Poultry	Avian	Broiler chicken faeces	Brazil	Santa Catarina	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1F01	15	Heidelberg	52	2010722	97.39	2.32	0.18	0.1	93	0	291122	5072343	gyrA (S83F)	"blaCMY_2.NG_048814.1, fosA7.NG_054942.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927191	ERR8025175	2018	Poultry	Avian	Broiler chicken faeces	Brazil	Parana	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1F02	15	Heidelberg	52.02	2069598	97.38	2.33	0.18	0.11	88	0	248392	5011627	gyrA (S83F)	"blaCMY_2.NG_048814.1, fosA7.NG_054942.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927360	ERR8025367	2018	Poultry	Avian	Broiler chicken faeces	Brazil	Santa Catarina	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1F03	463	Meleagridis	52.14	2864722	95.99	3.78	0.13	0.09	106	0	310523	4879086	No result	fosA7.4.NG_067230.1	ERS9927290	ERR8025277	2012	Poultry	Avian	Broiler chicken faeces	Brazil	Santa Catarina	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1F04	Unknown	Heidelberg	52.01	3814802	95.51	4.24	0.11	0.13	412	0	77099	5086053	gyrA (S83F)	"blaCMY_2.NG_048814.1, fosA7.NG_054942.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927347	ERR8026288	2012	Poultry	Avian	Broiler chicken faeces	Brazil	Parana	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1F05	15	Heidelberg	52.05	1931496	97.19	2.47	0.19	0.15	80	0	291118	4935075	gyrA (S83F)	"fosA7.NG_054942.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927333	ERR8025321	2013	Poultry	Avian	Broiler chicken faeces	Brazil	Santa Catarina	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1F06	5336	Sandiego	51.9	2684824	96.04	3.74	0.14	0.08	284	0	279893	5144686	No result	No result	ERS9927232	ERR8025217	2013	Poultry	Avian	Broiler chicken faeces	Brazil	Santa Catarina	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1F07	1541	Corvallis	52.05	3821568	95.66	4.11	0.11	0.12	355	0	93470	4814195	No result	qnrB19.NG_050479.1	ERS9927283	ERR8026770	2014	Poultry	Avian	Broiler chicken faeces	Brazil	Sao Paulo	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1F08	15	Heidelberg	52.04	1883124	97.36	2.36	0.18	0.09	99	0	203426	4928983	gyrA (S83F)	"blaCMY_2.NG_048814.1, fosA7.NG_054942.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927203	ERR8025187	2014	Poultry	Avian	Broiler chicken faeces	Brazil	Parana	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1F09	Unknown	Senftenberg	51.99	2045482	97.3	2.42	0.18	0.11	81	0	267264	4942404	No result	No result	ERS9927365	ERR8025372	2015	Poultry	Avian	Broiler chicken faeces	Brazil	Sao Paulo	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1F10	15	Heidelberg	52.04	2611564	97.1	2.52	0.18	0.19	85	0	298419	4996631	gyrA (S83F)	"blaCMY_2.NG_048814.1, fosA7.NG_054942.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927361	ERR8025368	2015	Poultry	Avian	Broiler chicken faeces	Brazil	Santa Catarina	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1F11	11	Enteritidis	52.12	2114982	97.23	2.44	0.19	0.14	60	0	400761	4666465	No result	No result	ERS9927323	ERR8025311	2016	Poultry	Avian	Broiler chicken faeces	Brazil	Parana	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1F12	548	Minnesota	52.26	2278530	97.26	2.4	0.19	0.15	75	0	270788	4748769	No result	"aph_3___Ia.NG_047430.1, qnrB19.NG_050479.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927325	ERR8025313	2016	Poultry	Avian	Broiler chicken faeces	Brazil	Parana	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1G01	96	Schwarzengrund	52.03	1753288	97.37	2.33	0.18	0.12	66	0	396938	4739820	No result	qnrB19.NG_050479.1	ERS9927279	ERR8025264	2018	Poultry	Avian	Broiler chicken faeces	Brazil	Parana	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1G02	15	Heidelberg	52.01	2119112	97.4	2.33	0.18	0.1	104	0	291475	5038288	gyrA (S83F)	"blaCMY_2.NG_048814.1, fosA7.NG_054942.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927213	ERR8025197	2018	Poultry	Avian	Broiler chicken faeces	Brazil	Parana	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1G03	Unknown	Ohio	52.17	1571924	100	0	0	0	82	0	338372	4738823	No result	No result	ERS9927254	ERR8025239	2012	Poultry	Avian	Broiler chicken faeces	Brazil	Santa Catarina	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1G04	Unknown	Muenchen	52.14	2123790	97.1	2.53	0.18	0.19	56	0	686329	4687042	No result	qnrB19.NG_050479.1	ERS9927216	ERR8025200	2012	Poultry	Avian	Broiler chicken faeces	Brazil	Parana	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1G05	548	Minnesota	52.19	1743002	97.12	2.55	0.18	0.16	103	0	124131	4739487	No result	"sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927269	ERR8025254	2013	Poultry	Avian	Broiler chicken faeces	Brazil	Mato Grosso do Sul	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1G06	24	Javiana	52.1	1882860	97.28	2.42	0.19	0.11	40	0	695936	4497163	No result	No result	ERS9927303	ERR8025290	2013	Poultry	Avian	Broiler chicken faeces	Brazil	Parana	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1G07	15	Heidelberg	52.03	2105836	97.21	2.44	0.18	0.17	85	0	269442	4997143	gyrA (S83F)	"blaCMY_2.NG_048814.1, fosA7.NG_054942.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927343	ERR8025332	2014	Poultry	Avian	Broiler chicken faeces	Brazil	Parana	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1G08	413	Mbandaka	52.06	1831484	97.37	2.35	0.19	0.09	103	0	322569	4851360	No result	No result	ERS9927226	ERR8025211	2014	Poultry	Avian	Broiler chicken faeces	Brazil	Santa Catarina	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1G09	152	Kentucky	51.98	2628090	97.32	2.38	0.18	0.11	95	0	314951	4890032	gyrA (D87Y)	qnrB19.NG_050479.1	ERS9927320	ERR8025308	2015	Poultry	Avian	Broiler chicken faeces	Brazil	Sao Paulo	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1G10	544	Molade	52.18	2382006	97.13	2.51	0.18	0.18	55	0	708778	4626781	No result	"fosA7.4.NG_067230.1, qnrB19.NG_050479.1"	ERS9927249	ERR8025234	2015	Poultry	Avian	Broiler chicken faeces	Brazil	Parana	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1G11	Unknown	Typhimurium	52.18	1939844	97.06	2.62	0.19	0.14	98	0	271251	4894466	No result	No result	ERS9927310	ERR8025298	2016	Poultry	Avian	Broiler chicken faeces	Brazil	Parana	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1G12	1593	Cerro	52.26	1845448	97.18	2.49	0.19	0.14	84	0	248633	4620594	No result	No result	ERS9927305	ERR8025293	2016	Poultry	Avian	Broiler chicken faeces	Brazil	Santa Catarina	University of Sao Paulo / Quadram Institute Bioscience
